id_evento;evento;recinto;artista;fecha_inicio;productora
1;BZRP Tour;Pabellon Max Schmeling;Paulo Londra;09-05-2020;Nachhaltige Events
2;Como si no importara;Arena Ludwingsburg;Emilia;23-01-2021;fullevent.de
3;Born this way;Irving Plaza;Lady Gaga;12-09-2020;CSI DMC
4;El Duko2.0;Thunder Bay;Duki;29-07-2020;EventsEye
5;LOS APARATOS;Tarpeian Precinct Lawn;Trueno;12-08-2018;YouTOOProject
6;Reputation;Raley Field;Taylor Swift;30-03-2016;Live Nation
7;WAP;E-Werk;Cardi B;06-03-2016;MGC
8;BZRP Tour;Pabellon Max Schmeling;Snow;09-05-2020;Nachhaltige Events
9;One Night Only;Bilbao Arena;Bee Gees;10-08-2021;Ibolele Producciones
10;Dia Cero;Forest National;La Ley;14-11-2018;Global Journey
11;CARAVANA;Don Haskins Center;Wos;05-01-2019;Event Production Company
12;WAP;Madison Square Garden;Cardi B;23-12-2018;The Imagos
13;Mil Rosas;Leons Centre;La Oreja de Van Gogh;18-01-2018;Eventos Toronto Shaddai
14;Quedate;Mercedes-Benz Arena;Quevedo;19-01-2022;Eventveranstalter Hamburg
15;Lively And Supreme;Quinta Vergara;Armin Van Buuren;30-08-2018;G & t business group spa
16;Anastasia;Pabellon Fuente de San Luis;Cami;04-07-2020;Planet Events
17;Myrad;Teatro Municipal de Santiago;Nicky Romero;03-05-2016;Universal circus
18;Dolby Live;Palais 12;Aerosmith;07-06-2016;Top Bruselas
19;Disney Concert;Estadio Unico Diego Armando Maradona;Olivia Rodrigo;15-03-2016;ATOMIC FILMS
20;Map of the Soul;Teatro Municipal de Santiago;BTS;05-12-2020;Capsule producciones spa
21;A7S Show;Carrer Baix Vinalopo;A7S;06-01-2019;Live Nation
22;Show Forest;Radio City Music Hall;5 Seconds of Summer;11-04-2016;Hartmann Studios
23;The Misery;Spark Arena;Imagine Dragons;27-10-2020;Queenstown Event Company
24;Passionfruit;Club Blondie;Drake;18-05-2017;Producciones y eventos empire digital limitada
25;Concha Acustica UC 2022;Club Subterraneo;Marcianeke;24-10-2022;Eventos mudness limitada
26;Fourplan Event;Olympiahalle;Luar La L;16-08-2016;Yataco
27;CLARITY;Estadio Nacional de Santiago;Kesha;17-08-2018;DG Medios y espectaculos s.a.
28;Passionfruit;Explanada Ciudad Empresarial;Drake;13-04-2020;Reverb - productora de eventos
29;KAWAII;SALA SANTANA;Polima Westcoast;06-02-2022;Planet Events
30;DISCOTEKA;El Huevo;Lola Indigo;30-09-2017;Global producciones spa
31;Entre Nosotros;Sala La Rivera;Tiago PZK;21-12-2020;Live Nation
32;Como si no importara;Arena Ludwingsburg;Duki;23-01-2021;fullevent.de
33;Younger now;HISTORY;Miley Cyrus;27-03-2017;EventsEye
34;The After Hours;Teatro Caupolican;The Weeknd;08-05-2018;Apparcel producciones limitada
35;Plastic Hearts;UBS Arena;Miley Cyrus;23-05-2021;Los Angeles AV Production
36;Anastasia;Teatro Cariola;Cami;19-07-2019;G & t business group spa
37;CLARITY;Estadio Nacional de Santiago;Zedd;17-08-2018;DG Medios y espectaculos s.a.
38;Bigger than me;Estadio ANZ;Louis Tomlinson;28-07-2019;CMG Audio Visual
39;Alpha Eventalist;Estadio Bicentario de La Florida;Duncan Laurence;15-10-2021;DG Medios y espectaculos s.a.
40;Beto Cuevas;Kursaal Oostende;Beto Cuevas;12-04-2018;Litmind
41;Mystere;LAUT;Cirque du Solei;10-08-2019;IndyRock
42;The After Hours;Teatro Coliseo;The Weeknd;20-04-2018;Producciones oz limitada
43;Rio Concert;Vivo Rio;Anuel AA;26-02-2016;Agencia 360
44;Frozen;Teatro Colon;Madonna;09-12-2019;FMG PRODUCCIONES
45;Nino Blessi;SOF Q8 Toinha Brasil;DrefQuila;08-09-2019;Urban Music
46;Show Forest;Radio City Music Hall;Big Time Rush;11-04-2016;Hartmann Studios
47;S.U.N.O;The Anthem;Pablo Chill-E;16-06-2016;Los Angeles AV Production
48;Rio Concert;Vivo Rio;Maria Becerra;26-02-2016;Agencia 360
49;Concha Acustica UC 2022;Club Subterraneo;Pablo Chill-E;24-10-2022;Eventos mudness limitada
50;Que oso;Youtube Theatre;Snow;22-05-2018;Los Angeles AV Production
51;EQILIBRIO;Festhalle;Polima Westcoast;14-08-2021;Europages
52;Paramore;Powerstation 33;Paramore;30-05-2016;manatua.nz
53;QueenB;Club Providencia;Beyonce;06-08-2019;Casa eventos
54;BZRP Tour;Pabellon Max Schmeling;Bizarrap;09-05-2020;Nachhaltige Events
55;Flicker;SALA SANTANA;Niall Horan;18-04-2021;IndyRock
56;I Aint Worried;Estadio Monumental de Santiago;One Republic;01-12-2019;K PRODUCCIONES S.A.
57;Tomorrow Never Knows;Studio The Venue;The Beatles;07-03-2020;Ethno Nueva Zelanda
58;La Ultima Mision;Estadio Rose Bowl;Wisin & Yandel;12-08-2017;CSI DMC
59;Bachata en vivo;Irving Plaza;Prince Royce;05-11-2020;The Imagos
60;Perfect Specacular Paradise;Estadio Monumental de Buenos Aires;Alan Walker;16-06-2016;Vision world producciones limitada
61;Five Day;Arena TSB Bank;Pearl Jam;08-07-2021;Event Management NZ
62;Same old love;Days Bay Pavilion;Selena Gomez;28-03-2020;manatua.nz
